X2,X4,X5,X6,adversaire,score_france,score_adversaire,penalty_france,penalty_adversaire,date,year,outcome,no
1er mai 1904,Belgique - France,3-3,Match amical,Belgique,3,3,NA,NA,1904-05-01,1904,draw,1
12 février 1905,France - Suisse,1-0,Match amical,Suisse,1,0,NA,NA,1905-02-12,1905,win,1
7 mai 1905,Belgique - France,7-0,Match amical,Belgique,0,7,NA,NA,1905-05-07,1905,loss,2
22 avril 1906,France - Belgique,0-5,Match amical,Belgique,0,5,NA,NA,1906-04-22,1906,loss,1
1er novembre 1906,France - Angleterre,0-15,Match amical,Angleterre,0,1,NA,NA,1906-11-01,1906,loss,2
21 avril 1907,Belgique - France,1-2,Match amical,Belgique,2,1,NA,NA,1907-04-21,1907,win,1
8 mars 1908,Suisse - France,1-2,Match amical,Suisse,2,1,NA,NA,1908-03-08,1908,win,1
23 mars 1908,Angleterre - France,12-0,Match amical,Angleterre,10,12,NA,NA,1908-03-23,1908,loss,2
12 avril 1908,France - Belgique,1-2,Match amical,Belgique,1,2,NA,NA,1908-04-12,1908,loss,3
10 mai 1908,Pays-Bas - France,4-1,Match amical,Pays-Bas,1,4,NA,NA,1908-05-10,1908,loss,4
22 octobre 1908,France - Danemark,1-17,Jeux olympiques 1908[40](Demi-finale),Danemark,1,1,NA,NA,1908-10-22,1908,draw,5
8 mai 1909,Belgique - France,5-2,Match amical,Belgique,2,5,NA,NA,1909-05-08,1909,loss,1
22 mai 1909,France - Angleterre,0-11,Match amical,Angleterre,0,1,NA,NA,1909-05-22,1909,loss,2
3 avril 1910,France - Belgique,0-4,Match amical,Belgique,0,4,NA,NA,1910-04-03,1910,loss,1
16 avril 1910,Angleterre - France,10-1,Match amical,Angleterre,11,10,NA,NA,1910-04-16,1910,win,2
15 mai 1910,Italie - France,6-2,Match amical,Italie,2,6,NA,NA,1910-05-15,1910,loss,3
1er janvier 1911,France - Hongrie,0-3,Match amical,Hongrie,0,3,NA,NA,1911-01-01,1911,loss,1
23 mars 1911,France - Angleterre,0-3,Match amical,Angleterre,0,3,NA,NA,1911-03-23,1911,loss,2
9 avril 1911,France - Italie,2-2,Match amical,Italie,2,2,NA,NA,1911-04-09,1911,draw,3
23 avril 1911,Suisse - France,5-2,Match amical,Suisse,2,5,NA,NA,1911-04-23,1911,loss,4
30 avril 1911,Belgique - France,7-1,Match amical,Belgique,1,7,NA,NA,1911-04-30,1911,loss,5
29 octobre 1911,Luxembourg - France,1-4,Match amical,Luxembourg,4,1,NA,NA,1911-10-29,1911,win,6
28 janvier 1912,France - Belgique,1-1,Match amical,Belgique,1,1,NA,NA,1912-01-28,1912,draw,1
18 février 1912,France - Suisse,4-1,Match amical,Suisse,4,1,NA,NA,1912-02-18,1912,win,2
17 mars 1912,Italie - France,3-4,Match amical,Italie,4,3,NA,NA,1912-03-17,1912,win,3
12 janvier 1913,France - Italie,1-0,Match amical,Italie,1,0,NA,NA,1913-01-12,1913,win,1
16 février 1913,Belgique - France,3-0,Match amical,Belgique,0,3,NA,NA,1913-02-16,1913,loss,2
27 février 1913,France - Angleterre,1-4,Match amical,Angleterre,1,4,NA,NA,1913-02-27,1913,loss,3
9 mars 1913,Suisse - France,1-4,Match amical,Suisse,4,1,NA,NA,1913-03-09,1913,win,4
20 avril 1913,France - Luxembourg,8-0,Match amical,Luxembourg,8,0,NA,NA,1913-04-20,1913,win,5
25 janvier 1914,France - Belgique,4-3,Match amical,Belgique,4,3,NA,NA,1914-01-25,1914,win,1
8 février 1914,Luxembourg - France,5-4,Match amical,Luxembourg,4,5,NA,NA,1914-02-08,1914,loss,2
8 mars 1914,France - Suisse,2-2,Match amical,Suisse,2,2,NA,NA,1914-03-08,1914,draw,3
29 mars 1914,Italie - France,2-0,Match amical,Italie,0,2,NA,NA,1914-03-29,1914,loss,4
31 mai 1914,Hongrie - France,5-1,Match amical,Hongrie,1,5,NA,NA,1914-05-31,1914,loss,5
9 mars 1919,Belgique - France,2-2,Match amical,Belgique,2,2,NA,NA,1919-03-09,1919,draw,1
18 janvier 1920,Italie - France,9-4,Match amical,Italie,4,9,NA,NA,1920-01-18,1920,loss,1
29 février 1920,Suisse - France,0-2,Match amical,Suisse,2,0,NA,NA,1920-02-29,1920,win,2
28 mars 1920,France - Belgique,2-1,Match amical,Belgique,2,1,NA,NA,1920-03-28,1920,win,3
5 avril 1920,France - Angleterre,0-5,Match amical,Angleterre,0,5,NA,NA,1920-04-05,1920,loss,4
29 août 1920,France - Italie,3-1,Jeux olympiques 1920 (Quart de finale),Italie,3,1,NA,NA,1920-08-29,1920,win,5
31 août 1920,Tchécoslovaquie - France,4-1,Jeux olympiques 1920 (Demi-finale),Tchécoslovaquie,1,4,NA,NA,1920-08-31,1920,loss,6
8 février 1921,France - Irlande,1-2,Match amical,Irlande,1,2,NA,NA,1921-02-08,1921,loss,1
20 février 1921,France - Italie,1-2,Match amical,Italie,1,2,NA,NA,1921-02-20,1921,loss,2
6 mars 1921,Belgique - France,3-1,Match amical,Belgique,1,3,NA,NA,1921-03-06,1921,loss,3
5 mai 1921,France - Angleterre,2-1,Match amical,Angleterre,2,1,NA,NA,1921-05-05,1921,win,4
13 novembre 1921,France - Pays-Bas,0-5,Match amical,Pays-Bas,0,5,NA,NA,1921-11-13,1921,loss,5
15 janvier 1922,France - Belgique,2-1,Match amical,Belgique,2,1,NA,NA,1922-01-15,1922,win,1
30 avril 1922,France - Espagne,0-4,Match amical,Espagne,0,4,NA,NA,1922-04-30,1922,loss,2
28 janvier 1923,Espagne - France,3-0,Match amical,Espagne,0,3,NA,NA,1923-01-28,1923,loss,1
25 février 1923,Belgique - France,4-1,Match amical,Belgique,1,4,NA,NA,1923-02-25,1923,loss,2
2 avril 1923,Pays-Bas - France,8-1,Match amical,Pays-Bas,1,8,NA,NA,1923-04-02,1923,loss,3
22 avril 1923,France - Suisse,2-2,Match amical,Suisse,2,2,NA,NA,1923-04-22,1923,draw,4
10 mai 1923,France - Angleterre,1-4,Match amical,Angleterre,1,4,NA,NA,1923-05-10,1923,loss,5
28 octobre 1923,France - Norvège,0-2,Match amical,Norvège,0,2,NA,NA,1923-10-28,1923,loss,6
13 janvier 1924,France - Belgique,2-0,Match amical,Belgique,2,0,NA,NA,1924-01-13,1924,win,1
23 mars 1924,Suisse - France,3-0,Match amical,Suisse,0,3,NA,NA,1924-03-23,1924,loss,2
17 mai 1924,France - Angleterre,1-3,Match amical,Angleterre,1,3,NA,NA,1924-05-17,1924,loss,3
27 mai 1924,France - Lettonie,7-0,Jeux olympiques 1924 (Huitième de finale),Lettonie,7,0,NA,NA,1924-05-27,1924,win,4
1er juin 1924,France - Uruguay,1-5,Jeux olympiques 1924 (Quart de finale),Uruguay,1,5,NA,NA,1924-06-01,1924,loss,5
4 juin 1924,France - Hongrie,0-1,Match amical,Hongrie,0,1,NA,NA,1924-06-04,1924,loss,6
11 novembre 1924,Belgique - France,3-0,Match amical,Belgique,0,3,NA,NA,1924-11-11,1924,loss,7
22 mars 1925,Italie - France,7-0,Match amical,Italie,0,7,NA,NA,1925-03-22,1925,loss,1
19 avril 1925,France - Autriche,0-4,Match amical,Autriche,0,4,NA,NA,1925-04-19,1925,loss,2
25 mai 1925,France - Angleterre,2-3,Match amical,Angleterre,2,3,NA,NA,1925-05-25,1925,loss,3
11 avril 1926,France - Belgique,4-3,Match amical,Belgique,4,3,NA,NA,1926-04-11,1926,win,1
18 avril 1926,France - Portugal,4-2,Match amical,Portugal,4,2,NA,NA,1926-04-18,1926,win,2
25 avril 1926,France - Suisse,1-0,Match amical,Suisse,1,0,NA,NA,1926-04-25,1926,win,3
30 mai 1926,Autriche - France,4-1,Match amical,Autriche,1,4,NA,NA,1926-05-30,1926,loss,4
14 juin 1926,"France - Royaume des
Serbes, Croates et Slovènes",4-1,Match amical,"Royaume des
Serbes, Croates et Slovènes",4,1,NA,NA,1926-06-14,1926,win,5
20 juin 1926,Belgique - France,2-2,Match amical,Belgique,2,2,NA,NA,1926-06-20,1926,draw,6
16 mars 1927,Portugal - France,4-0,Match amical,Portugal,0,4,NA,NA,1927-03-16,1927,loss,1
24 avril 1927,France - Italie,3-3,Match amical,Italie,3,3,NA,NA,1927-04-24,1927,draw,2
22 mai 1927,France - Espagne,1-4,Match amical,Espagne,1,4,NA,NA,1927-05-22,1927,loss,3
26 mai 1927,France - Angleterre,0-6,Match amical,Angleterre,0,6,NA,NA,1927-05-26,1927,loss,4
12 juin 1927,Hongrie - France,13-1,Match amical,Hongrie,11,13,NA,NA,1927-06-12,1927,loss,5
21 février 1928,France - Irlande,4-0,Match amical,Irlande,4,0,NA,NA,1928-02-21,1928,win,1
11 mars 1928,Suisse - France,4-3,Match amical,Suisse,3,4,NA,NA,1928-03-11,1928,loss,2
15 avril 1928,France - Belgique,2-3,Match amical,Belgique,2,3,NA,NA,1928-04-15,1928,loss,3
29 avril 1928,France - Portugal,1-1,Match amical,Portugal,1,1,NA,NA,1928-04-29,1928,draw,4
13 mai 1928,France - Tchécoslovaquie,0-2,Match amical,Tchécoslovaquie,0,2,NA,NA,1928-05-13,1928,loss,5
17 mai 1928,France - Angleterre,1-5,Match amical,Angleterre,1,5,NA,NA,1928-05-17,1928,loss,6
29 mai 1928,France - Italie,3-4,Jeux olympiques 1928 (Premier tour),Italie,3,4,NA,NA,1928-05-29,1928,loss,7
24 février 1929,France - Hongrie,3-0,Match amical,Hongrie,3,0,NA,NA,1929-02-24,1929,win,1
24 mars 1929,France - Portugal,2-0,Match amical,Portugal,2,0,NA,NA,1929-03-24,1929,win,2
14 avril 1929,Espagne - France,8-1,Match amical,Espagne,1,8,NA,NA,1929-04-14,1929,loss,3
9 mai 1929,France - Angleterre,1-4,Match amical,Angleterre,1,4,NA,NA,1929-05-09,1929,loss,4
19 mai 1929,"France - Royaume des
Serbes, Croates et Slovènes",1-3,Match amical,"Royaume des
Serbes, Croates et Slovènes",1,3,NA,NA,1929-05-19,1929,loss,5
26 mai 1929,Belgique - France,4-1,Match amical,Belgique,1,4,NA,NA,1929-05-26,1929,loss,6
23 février 1930,Portugal - France,2-0,Match amical,Portugal,0,2,NA,NA,1930-02-23,1930,loss,1
23 mars 1930,France - Suisse,3-3,Match amical,Suisse,3,3,NA,NA,1930-03-23,1930,draw,2
13 avril 1930,France - Belgique,1-6,Match amical,Belgique,1,6,NA,NA,1930-04-13,1930,loss,3
11 mai 1930,France - Tchécoslovaquie,2-3,Match amical,Tchécoslovaquie,2,3,NA,NA,1930-05-11,1930,loss,4
18 mai 1930,France - Écosse,0-2,Match amical,Écosse,0,2,NA,NA,1930-05-18,1930,loss,5
25 mai 1930,Belgique - France,1-2,Match amical,Belgique,2,1,NA,NA,1930-05-25,1930,win,6
13 juillet 1930,France - Mexique,4-1,Coupe du monde 1930 (Groupe 1)[73],Mexique,4,1,NA,NA,1930-07-13,1930,win,7
15 juillet 1930,Argentine - France,1-0,Coupe du monde 1930 (Groupe 1),Argentine,0,1,NA,NA,1930-07-15,1930,loss,8
19 juillet 1930,Chili - France,1-0,Coupe du monde 1930 (Groupe 1),Chili,0,1,NA,NA,1930-07-19,1930,loss,9
7 décembre 1930,France - Belgique,2-2,Match amical,Belgique,2,2,NA,NA,1930-12-07,1930,draw,10
25 janvier 1931,Italie - France,5-0,Match amical,Italie,0,5,NA,NA,1931-01-25,1931,loss,1
15 février 1931,France - Tchécoslovaquie,1-2,Match amical,Tchécoslovaquie,1,2,NA,NA,1931-02-15,1931,loss,2
15 mars 1931,France - Allemagne,1-0,Match amical,Allemagne,1,0,NA,NA,1931-03-15,1931,win,3
14 mai 1931,France - Angleterre,5-2,Match amical,Angleterre,5,2,NA,NA,1931-05-14,1931,win,4
29 novembre 1931,France - Pays-Bas,3-4,Match amical,Pays-Bas,3,4,NA,NA,1931-11-29,1931,loss,5
20 mars 1932,Suisse - France,3-3,Match amical,Suisse,3,3,NA,NA,1932-03-20,1932,draw,1
10 avril 1932,France - Italie,1-2,Match amical,Italie,1,2,NA,NA,1932-04-10,1932,loss,2
1er mai 1932,Belgique - France,5-2,Match amical,Belgique,2,5,NA,NA,1932-05-01,1932,loss,3
8 mai 1932,France - Écosse,1-3,Match amical,Écosse,1,3,NA,NA,1932-05-08,1932,loss,4
5 juin 1932,Royaume de Yougoslavie - France,2-1,Match amical,Royaume de Yougoslavie,1,2,NA,NA,1932-06-05,1932,loss,5
9 juin 1932,Bulgarie - France,3-5,Match amical,Bulgarie,5,3,NA,NA,1932-06-09,1932,win,6
12 juin 1932,Roumanie - France,6-3,Match amical,Roumanie,3,6,NA,NA,1932-06-12,1932,loss,7
12 février 1933,France - Autriche,0-4,Match amical,Autriche,0,4,NA,NA,1933-02-12,1933,loss,1
19 mars 1933,Allemagne - France,3-3,Match amical,Allemagne,3,3,NA,NA,1933-03-19,1933,draw,2
26 mars 1933,France - Belgique,3-0,Match amical,Belgique,3,0,NA,NA,1933-03-26,1933,win,3
23 avril 1933,France - Espagne,1-0,Match amical,Espagne,1,0,NA,NA,1933-04-23,1933,win,4
25 mai 1933,France - Pays de Galles,1-1,Match amical,Pays de Galles,1,1,NA,NA,1933-05-25,1933,draw,5
10 juin 1933,Tchécoslovaquie - France,4-0,Match amical,Tchécoslovaquie,0,4,NA,NA,1933-06-10,1933,loss,6
6 décembre 1933,Angleterre - France,4-1,Match amical,Angleterre,1,4,NA,NA,1933-12-06,1933,loss,7
21 janvier 1934,Belgique - France,2-3,Match amical,Belgique,3,2,NA,NA,1934-01-21,1934,win,1
11 mars 1934,France - Suisse,0-1,Match amical,Suisse,0,1,NA,NA,1934-03-11,1934,loss,2
25 mars 1934,France - Tchécoslovaquie,1-2,Match amical,Tchécoslovaquie,1,2,NA,NA,1934-03-25,1934,loss,3
15 avril 1934,Luxembourg - France,1-6,Qualifications pour la Coupe du monde 1934,Luxembourg,6,1,NA,NA,1934-04-15,1934,win,4
10 mai 1934,Pays-Bas - France,4-5,Match amical,Pays-Bas,5,4,NA,NA,1934-05-10,1934,win,5
27 mai 1934,Autriche - France,3-2,Coupe du monde 1934 (Huitième de finale),Autriche,2,3,NA,NA,1934-05-27,1934,loss,6
6 décembre 1934,France - Royaume de Yougoslavie,3-2,Match amical,Royaume de Yougoslavie,3,2,NA,NA,1934-12-06,1934,win,7
27 janvier 1935,Espagne - France,2-0,Match amical,Espagne,0,2,NA,NA,1935-01-27,1935,loss,1
17 février 1935,Italie - France,2-1,Match amical,Italie,1,2,NA,NA,1935-02-17,1935,loss,2
17 mars 1935,France - Allemagne,1-3,Match amical,Allemagne,1,3,NA,NA,1935-03-17,1935,loss,3
14 avril 1935,Belgique - France,1-1,Match amical,Belgique,1,1,NA,NA,1935-04-14,1935,draw,4
19 mai 1935,France - Hongrie,2-0,Match amical,Hongrie,2,0,NA,NA,1935-05-19,1935,win,5
27 octobre 1935,Suisse - France,2-1,Match amical,Suisse,1,2,NA,NA,1935-10-27,1935,loss,6
10 novembre 1935,France - Suède,2-0,Match amical,Suède,2,0,NA,NA,1935-11-10,1935,win,7
12 janvier 1936,France - Pays-Bas,1-6,Match amical,Pays-Bas,1,6,NA,NA,1936-01-12,1936,loss,1
9 février 1936,France - Tchécoslovaquie,0-3,Match amical,Tchécoslovaquie,0,3,NA,NA,1936-02-09,1936,loss,2
8 mars 1936,France - Belgique,3-0,Match amical,Belgique,3,0,NA,NA,1936-03-08,1936,win,3
13 décembre 1936,France - Royaume de Yougoslavie,1-0,Match amical,Royaume de Yougoslavie,1,0,NA,NA,1936-12-13,1936,win,4
24 janvier 1937,France - Autriche,1-2,Match amical,Autriche,1,2,NA,NA,1937-01-24,1937,loss,1
21 février 1937,Belgique - France,3-1,Match amical,Belgique,1,3,NA,NA,1937-02-21,1937,loss,2
21 mars 1937,Allemagne - France,4-0,Match amical,Allemagne,0,4,NA,NA,1937-03-21,1937,loss,3
23 mai 1937,France - Irlande,0-2,Match amical,Irlande,0,2,NA,NA,1937-05-23,1937,loss,4
10 octobre 1937,France - Suisse,2-1,Match amical,Suisse,2,1,NA,NA,1937-10-10,1937,win,5
31 octobre 1937,Pays-Bas - France,2-3,Match amical,Pays-Bas,3,2,NA,NA,1937-10-31,1937,win,6
5 décembre 1937,Italie - France,0-0,Match amical,Italie,0,0,NA,NA,1937-12-05,1937,draw,7
30 janvier 1938,France - Belgique,5-3,Match amical,Belgique,5,3,NA,NA,1938-01-30,1938,win,1
24 mars 1938,France - Bulgarie,6-1,Match amical,Bulgarie,6,1,NA,NA,1938-03-24,1938,win,2
26 mai 1938,France - Angleterre,2-4,Match amical,Angleterre,2,4,NA,NA,1938-05-26,1938,loss,3
5 juin 1938,France - Belgique,3-1,Coupe du monde 1938 (Huitième de finale),Belgique,3,1,NA,NA,1938-06-05,1938,win,4
12 juin 1938,France - Italie,1-3,Coupe du monde 1938 (Quart de finale),Italie,1,3,NA,NA,1938-06-12,1938,loss,5
4 décembre 1938,Italie - France,1-0,Match amical,Italie,0,1,NA,NA,1938-12-04,1938,loss,6
22 janvier 1939,France - Pologne,4-0,Match amical,Pologne,4,0,NA,NA,1939-01-22,1939,win,1
16 mars 1939,France - Hongrie,2-2,Match amical,Hongrie,2,2,NA,NA,1939-03-16,1939,draw,2
18 mai 1939,Belgique - France,1-3,Match amical,Belgique,3,1,NA,NA,1939-05-18,1939,win,3
21 mai 1939,France - Pays de Galles,2-1,Match amical,Pays de Galles,2,1,NA,NA,1939-05-21,1939,win,4
28 janvier 1940,France - Portugal,3-2,Match amical,Portugal,3,2,NA,NA,1940-01-28,1940,win,1
8 mars 1942,France - Suisse,0-2,Match amical,Suisse,0,2,NA,NA,1942-03-08,1942,loss,1
15 mars 1942,Espagne - France,4-0,Match amical,Espagne,0,4,NA,NA,1942-03-15,1942,loss,2
24 décembre 1944,France - Belgique,3-1,Match amical,Belgique,3,1,NA,NA,1944-12-24,1944,win,1
8 avril 1945,Suisse - France,1-0,Match amical,Suisse,0,1,NA,NA,1945-04-08,1945,loss,1
26 mai 1945,Angleterre - France,2-2,Match amical,Angleterre,2,2,NA,NA,1945-05-26,1945,draw,2
6 décembre 1945,Autriche - France,4-1,Match amical,Autriche,1,4,NA,NA,1945-12-06,1945,loss,3
15 décembre 1945,Belgique - France,2-1,Match amical,Belgique,1,2,NA,NA,1945-12-15,1945,loss,4
7 avril 1946,France - Tchécoslovaquie,3-0,Match amical,Tchécoslovaquie,3,0,NA,NA,1946-04-07,1946,win,1
14 avril 1946,Portugal - France,2-1,Match amical,Portugal,1,2,NA,NA,1946-04-14,1946,loss,2
5 mai 1946,France - Autriche,3-1,Match amical,Autriche,3,1,NA,NA,1946-05-05,1946,win,3
19 mai 1946,France - Angleterre,2-1,Match amical,Angleterre,2,1,NA,NA,1946-05-19,1946,win,4
23 mars 1947,France - Portugal,1-0,Match amical,Portugal,1,0,NA,NA,1947-03-23,1947,win,1
3 mai 1947,Angleterre - France,3-0,Match amical,Angleterre,0,3,NA,NA,1947-05-03,1947,loss,2
26 mai 1947,France - Pays-Bas,4-0,Match amical,Pays-Bas,4,0,NA,NA,1947-05-26,1947,win,3
1er juin 1947,France - Belgique,4-2,Match amical,Belgique,4,2,NA,NA,1947-06-01,1947,win,4
8 juin 1947,Suisse - France,1-2,Match amical,Suisse,2,1,NA,NA,1947-06-08,1947,win,5
23 novembre 1947,Portugal - France,2-4,Match amical,Portugal,4,2,NA,NA,1947-11-23,1947,win,6
4 avril 1948,France - Italie,1-3,Match amical,Italie,1,3,NA,NA,1948-04-04,1948,loss,1
23 mai 1948,France - Écosse,3-0,Match amical,Écosse,3,0,NA,NA,1948-05-23,1948,win,2
6 juin 1948,Belgique - France,4-2,Match amical,Belgique,2,4,NA,NA,1948-06-06,1948,loss,3
12 juin 1948,Tchécoslovaquie - France,0-4,Match amical,Tchécoslovaquie,4,0,NA,NA,1948-06-12,1948,win,4
17 octobre 1948,France - Belgique,3-3,Match amical,Belgique,3,3,NA,NA,1948-10-17,1948,draw,5
23 avril 1949,Pays-Bas - France,4-1,Match amical,Pays-Bas,1,4,NA,NA,1949-04-23,1949,loss,1
27 avril 1949,Écosse - France,2-0,Match amical,Écosse,0,2,NA,NA,1949-04-27,1949,loss,2
22 mai 1949,France - Angleterre,1-3,Match amical,Angleterre,1,3,NA,NA,1949-05-22,1949,loss,3
4 juin 1949,France - Suisse,4-2,Match amical,Suisse,4,2,NA,NA,1949-06-04,1949,win,4
19 juin 1949,France - Espagne,1-5,Match amical,Espagne,1,5,NA,NA,1949-06-19,1949,loss,5
9 octobre 1949,Yougoslavie - France,1-1,Qualifications pour la Coupe du monde 1950,Yougoslavie,1,1,NA,NA,1949-10-09,1949,draw,6
30 octobre 1949,France - Yougoslavie,1-1,Qualifications pour la Coupe du monde 1950,Yougoslavie,1,1,NA,NA,1949-10-30,1949,draw,7
13 novembre 1949,France - Tchécoslovaquie,1-0,Match amical,Tchécoslovaquie,1,0,NA,NA,1949-11-13,1949,win,8
11 décembre 1949,Yougoslavie - France,3-2,"Qualifications pour la
Coupe du monde 1950 (Barrage)",Yougoslavie,2,3,NA,NA,1949-12-11,1949,loss,9
27 mai 1950,France - Écosse,0-1,Match amical,Écosse,0,1,NA,NA,1950-05-27,1950,loss,1
4 juin 1950,Belgique - France,4-1,Match amical,Belgique,1,4,NA,NA,1950-06-04,1950,loss,2
1er novembre 1950,France - Belgique,3-3,Match amical,Belgique,3,3,NA,NA,1950-11-01,1950,draw,3
10 décembre 1950,France - Pays-Bas,5-2,Match amical,Pays-Bas,5,2,NA,NA,1950-12-10,1950,win,4
6 février 1951,France - Yougoslavie,2-1,Match amical,Yougoslavie,2,1,NA,NA,1951-02-06,1951,win,1
12 mai 1951,Irlande du Nord - France,2-2,Match amical,Irlande du Nord,2,2,NA,NA,1951-05-12,1951,draw,2
16 mai 1951,Écosse - France,1-0,Match amical,Écosse,0,1,NA,NA,1951-05-16,1951,loss,3
3 juin 1951,Italie - France,4-1,Match amical,Italie,1,4,NA,NA,1951-06-03,1951,loss,4
3 octobre 1951,Angleterre - France,2-2,Match amical,Angleterre,2,2,NA,NA,1951-10-03,1951,draw,5
14 octobre 1951,Suisse - France,1-2,Match amical,Suisse,2,1,NA,NA,1951-10-14,1951,win,6
1er novembre 1951,France - Autriche,2-2,Match amical,Autriche,2,2,NA,NA,1951-11-01,1951,draw,7
26 mars 1952,France - Suède,0-1,Match amical,Suède,0,1,NA,NA,1952-03-26,1952,loss,1
20 avril 1952,France - Portugal,3-0,Match amical,Portugal,3,0,NA,NA,1952-04-20,1952,win,2
22 mai 1952,Belgique - France,1-2,Match amical,Belgique,2,1,NA,NA,1952-05-22,1952,win,3
5 octobre 1952,France - RFA,3-1,Match amical,RFA,3,1,NA,NA,1952-10-05,1952,win,4
19 octobre 1952,Autriche - France,1-2,Match amical,Autriche,2,1,NA,NA,1952-10-19,1952,win,5
11 novembre 1952,France - Irlande du Nord,3-1,Match amical,Irlande du Nord,3,1,NA,NA,1952-11-11,1952,win,6
16 novembre 1952,Irlande - France,1-1,Match amical,Irlande,1,1,NA,NA,1952-11-16,1952,draw,7
25 décembre 1952,France - Belgique,0-1,Match amical,Belgique,0,1,NA,NA,1952-12-25,1952,loss,8
14 mai 1953,France - Pays de Galles,6-1,Match amical,Pays de Galles,6,1,NA,NA,1953-05-14,1953,win,1
11 juin 1953,Suède - France,1-0,Match amical,Suède,0,1,NA,NA,1953-06-11,1953,loss,2
20 septembre 1953,Luxembourg - France,1-6,Qualifications pour la Coupe du monde 1954,Luxembourg,6,1,NA,NA,1953-09-20,1953,win,3
4 octobre 1953,Irlande - France,3-5,Qualifications pour la Coupe du monde 1954,Irlande,5,3,NA,NA,1953-10-04,1953,win,4
18 octobre 1953,Yougoslavie - France,3-1,Match amical,Yougoslavie,1,3,NA,NA,1953-10-18,1953,loss,5
11 novembre 1953,France - Suisse,2-4,Match amical,Suisse,2,4,NA,NA,1953-11-11,1953,loss,6
25 novembre 1953,France - Irlande,1-0,Qualifications pour la Coupe du monde 1954,Irlande,1,0,NA,NA,1953-11-25,1953,win,7
17 décembre 1953,France - Luxembourg,8-0,Qualifications pour la Coupe du monde 1954,Luxembourg,8,0,NA,NA,1953-12-17,1953,win,8
11 avril 1954,France - Italie,1-3,Match amical,Italie,1,3,NA,NA,1954-04-11,1954,loss,1
30 mai 1954,Belgique - France,3-3,Match amical,Belgique,3,3,NA,NA,1954-05-30,1954,draw,2
16 juin 1954,Yougoslavie - France,1-0,Coupe du monde 1954 (Groupe A),Yougoslavie,0,1,NA,NA,1954-06-16,1954,loss,3
19 juin 1954,France - Mexique,3-2,Coupe du monde 1954 (Groupe A),Mexique,3,2,NA,NA,1954-06-19,1954,win,4
16 octobre 1954,RFA - France,1-3,Match amical,RFA,3,1,NA,NA,1954-10-16,1954,win,5
11 novembre 1954,France - Belgique,2-2,Match amical,Belgique,2,2,NA,NA,1954-11-11,1954,draw,6
15 mars 1955,France - Angleterre,1-0,Match amical,Angleterre,1,0,NA,NA,1955-03-15,1955,win,1
17 mars 1955,Espagne - France,1-2,Match amical,Espagne,2,1,NA,NA,1955-03-17,1955,win,2
3 avril 1955,France - Suède,2-0,Match amical,Suède,2,0,NA,NA,1955-04-03,1955,win,3
